IC50_nM,MDEC-23,minsssN,LipoaffinityIndex,C1SP2,minHsOH,maxHsOH,MLFER_A,maxssO,minsOH,minHBint5,nHBAcc,nC,SsOH,VC-5,ATSc3,SHsOH,MLogP,MDEO-12,ndssC,TopoPSA
46,0.69088148,0,0.532354181,0.05,0.330833805,0.795346317,0.271196283,0,0.754981861,0.093941509,0.045454545,0.227272727,0.454670067,0.402984198,0.387954487,0.459296636,0.564102564,0,0.035714286,0.075785335
94,0.69088148,0.576964903,0.600819187,0.05,0.319506263,0.471997752,0.2029036,0,0.868664387,0.093941509,0.045454545,0.25,0.321190415,0.438569978,0.474455147,0.204868621,0.615384615,0,0.035714286,0.061571925
33,0.58296479,0.69150796,0.659470659,0.05,0.311151959,0.472625507,0.224390244,0,0.866718644,0.532313793,0.060606061,0.306818182,0.320729646,0.447663364,0.404883417,0.202367222,0.717948718,0,0.071428571,0.075852261
6,0.56525777,0,0.763579688,0,0.314359561,0.466651299,0.2029036,0,0.864613903,0.093941509,0.03030303,0.284090909,0.319742144,0.424527504,0.109282045,0.201546312,0.58974359,0,0,0.053766679
9,0.573464683,0.69892064,0.761259316,0.05,0.300983088,0.452755669,0.2029036,0,0.8696545,0.093941509,0.045454545,0.306818182,0.321544435,0.433802388,0.447040753,0.192911506,0.743589744,0,0.035714286,0.061571925
18,0.567518487,0.907467407,0.551018952,0,0.649259188,0.588293617,0.225900116,0.897530239,0.833896769,0.045501747,0.015151515,0.215909091,0.302114991,0.260680266,0.292932061,0.347433363,0.512820513,0.051467684,0,0.076178525
1,0.565140234,0.896176814,0.522092683,0,0.659269567,0.567325482,0.225900116,0.963472983,0.849310882,0.034711676,0.015151515,0.215909091,0.305135204,0.117520785,0.256944276,0.344149478,0.512820513,0.149392509,0,0.062734764
21,0.572028456,0.918894319,0.575133433,0,0.64577513,0.584674339,0.225900116,0.903597653,0.835080582,0.045655192,0.015151515,0.227272727,0.302538269,0.260680266,0.291568977,0.345184328,0.538461538,0.051467684,0,0.076178525
15,0.569991246,0.918031841,0.570930747,0,0.628913169,0.526306995,0.225900116,0.903193092,0.857246812,0.044084514,0.015151515,0.227272727,0.307678109,0.260680266,0.294102654,0.321607084,0.538461538,0.053979762,0,0.076178525
4,0.592442184,0.928396387,0.572759959,0,0.617102214,0.516167033,0.225900116,0.931323351,0.861007357,0.045311898,0.015151515,0.227272727,0.309165143,0.305793476,0.263441875,0.314644461,0.512820513,0.053979762,0,0.076178525
5,0.595394427,0.929258865,0.577169,0,0.63601401,0.574534377,0.225900116,0.931727911,0.838841128,0.046646208,0.015151515,0.227272727,0.303882872,0.305793476,0.260908012,0.338883312,0.512820513,0.051467684,0,0.076178525
4,0.588642558,0.917831953,0.553077666,0,0.639498068,0.578153656,0.225900116,0.925660497,0.837657315,0.046489771,0.015151515,0.215909091,0.303459594,0.305793476,0.262271096,0.341132347,0.487179487,0.051467684,0,0.076178525
4,0.569991246,0.907603726,0.545986205,0,0.655363565,0.563706204,0.225900116,0.965232174,0.850494695,0.035000619,0.015151515,0.227272727,0.305584113,0.117520785,0.255581192,0.341764255,0.538461538,0.149392509,0,0.062734764
110,0.401691143,0.777342584,0.572471177,0,0.779991411,0.665732383,0.186643438,0,0.807981855,0.093941509,0.106060606,0.204545455,0.144449035,0.036449236,0.932033346,0.206844506,0.41025641,0,0,0.064391182
240,0.401691143,0.747302746,0.574279715,0,0.784294222,0.670202191,0.186643438,0,0.806563911,0.093941509,0.106060606,0.204545455,0.144195538,0.036449236,0.923866319,0.208233285,0.41025641,0,0,0.064391182
565,0.461258591,0.79449166,0.577408477,0,0.777866136,0.663524623,0.186643438,0,0.808751686,0.093941509,0.106060606,0.215909091,0.144586664,0.06297331,0.938634462,0.20615855,0.461538462,0,0,0.064391182
150,0.496238709,0.784932571,0.645012809,0.1,0.76041081,0.645391834,0.185365854,0,0.815928123,0.093941509,0.121212121,0.261363636,0.145869649,0.036449236,0.8906564,0.200524653,0.487179487,0,0,0.09144602
30,0.421513667,0.772196813,0.579481993,0,0.751415313,0.657094134,0.215098722,0,0.788991769,0.093941509,0.121212121,0.227272727,0.286042057,0.036449236,0.861492489,0.401781841,0.435897436,0,0,0.073961601
80,0.401691143,0.831220462,0.537302739,0,0.781589989,0.667393003,0.186643438,0,0.80676464,0.093941509,0.090909091,0.193181818,0.144231424,0.015097768,0.839759091,0.207360464,0.384615385,0,0,0.082846028
2281,0.463722518,0,0.470970034,0,0.139131623,0,0.141114983,0.958085623,0,0.265515898,0.045454545,0.159090909,0,0.165049666,0.418728203,0,0.358974359,0.142655011,0,0.050646254
9,0.550951816,0,0.538392177,0,0.767639032,0.652900592,0.225900116,0,0.814704009,0.093941509,0,0.170454545,0.291301611,0.062945877,0.404263413,0.405715281,0.435897436,0,0.071428571,0.023415736
150,0.476691116,0,0.471777137,0,0.782280784,0.668110609,0.225900116,0,0.808246881,0.093941509,0,0.147727273,0.288992831,0.032485224,0.389323854,0.415166852,0.461538462,0,0.035714286,0.023415736
500,0.545126316,0.776304597,0.653645092,0,0.139131623,0,0.099767712,0.87273202,0,0.093941509,0.015151515,0.215909091,0,0.062945877,0.352623383,0,0.615384615,0,0.071428571,0
15,0.550951816,0,0.499455005,0,0.750706512,0.635310899,0.225900116,0,0.819028871,0.093941509,0,0.170454545,0.292847987,0.062945877,0.388926215,0.394784969,0.512820513,0,0.071428571,0.023415736
500,0.606919308,0,0.544184427,0,0.730088954,0.613893147,0.225900116,0,0.826208233,0.093941509,0,0.193181818,0.295415005,0.062945877,0.388945582,0.381475884,0.564102564,0,0.071428571,0.023415736
30,0.505034835,0,0.480613197,0,0.764642742,0.649788012,0.225900116,0,0.814153865,0.093941509,0,0.159090909,0.291104904,0.077365831,0.389009375,0.403781111,0.487179487,0,0.071428571,0.023415736
50,0.583526695,0,0.521162085,0,0.739418166,0.623584437,0.225900116,0,0.822964391,0.093941509,0,0.181818182,0.294255153,0.062945877,0.38894586,0.387498095,0.538461538,0,0.071428571,0.023415736
7,0.516155064,0,0.539589008,0,0.750706512,0.635310899,0.162833914,0,0.818744756,0.093941509,0,0.170454545,0.1463732,0.062945877,0.399061229,0.197392485,0.538461538,0,0.071428571,0.006491822
0.33,0.391872396,0,0.431986989,0,0.783136778,0.668999825,0.225900116,0,0.802114714,0.093941509,0,0.125,0.286800243,0.060885884,0.386604593,0.415719415,0.41025641,0,0.071428571,0.023415736
65,0.713124952,0.906046097,0.650921965,0,0.721384577,0.613814811,0.225900116,0.89984915,0.83228675,0.093941509,0.015151515,0.272727273,0.298328837,0.072752734,0.315115104,0.378642112,0.666666667,0.136376079,0,0.044840423
14,0.594418988,0.909075614,0.648297159,0,0.660559148,0.607790184,0.225900116,0.892772202,0.831956216,0.176537855,0.03030303,0.25,0.302286876,0.097152837,0.327684723,0.357138175,0.615384615,0.049276556,0,0.037972142
23,0.599006094,0.920502526,0.672403483,0,0.65707509,0.604541857,0.225900116,0.898839616,0.833018696,0.176092407,0.03030303,0.261363636,0.302688462,0.097152837,0.327209656,0.355004395,0.641025641,0.049276556,0,0.037972142
25,0.446604405,0.949055489,0.616556437,0,0.668760398,0.615415995,0.225900116,0,0.824857794,0.181714775,0.03030303,0.204545455,0.299519885,0.097152837,0.398034067,0.362154575,0.538461538,0,0,0.030250554
20000,0.351575229,0,0.106673509,0,0.596411335,0.647069155,0.275609756,0.821432154,0.794778812,0.287174367,0.106060606,0.159090909,0.910499855,0.138796354,0.14209671,1,0.282051282,1,0.071428571,0.135115238
1300,0.339787479,0,0.272620332,0.05,0.760253316,0.730685669,0.263995354,0.785984623,0.788414856,0.093941509,0.015151515,0.090909091,0.432871041,0.055645489,0.401946486,0.652946962,0.256410256,0.246114841,0.071428571,0.062341574
6300,0.35706235,0,0.306249988,0.05,0.837628504,0.730685669,0.249477352,0.797752878,0.788064096,0.093941509,0.015151515,0.090909091,0.283335998,0.047620929,0.380609632,0.452473142,0.282051282,0.176175656,0.071428571,0.04541766
2700,0.270839175,0,0.247399186,0,0.712754724,0.688118706,0.191869919,0,0.806093529,0.58709327,0.03030303,0.090909091,0.443905885,0.083276617,0.444184269,0.594161923,0.256410256,0,0.071428571,0.068900322
1100,0.339399236,0,0.2630524,0,0.815477583,0.702595819,0.225900116,0,0.799571597,0.665785125,0.03030303,0.079545455,0.285890939,0.067919141,0.409585139,0.436596112,0.256410256,0,0.071428571,0.051976409
24.8,0.577271109,0.633238928,0.577973349,0,0.654362118,0.535227255,0.162833914,0.887861766,0.854873026,0.093941509,0.060606061,0.238636364,0.152832125,0.148938143,0.446413188,0.166296278,0.538461538,0.098542879,0,0.055205588
160,0.55933001,0.663352359,0.448670338,0.05,0.694982078,0.641984593,0.225900116,0,0.816375423,0.163984898,0.03030303,0.170454545,0.296605517,0.091515925,0.469335761,0.37887283,0.461538462,0,0.035714286,0.040406575
50,0.43856448,0.927894611,0.476639065,0.05,0.705134817,0.587970508,0.162833914,0,0.834915221,0.093941509,0.015151515,0.136363636,0.149264117,0.10232474,0.376854652,0.182683722,0.41025641,0,0,0.032827205
5.9,0.649297332,0.665951946,0.588176567,0.05,0.670597336,0.552092583,0.162833914,0.79035186,0.850473495,0.093941509,0.060606061,0.238636364,0.152045587,0.103827274,0.368847705,0.171536372,0.58974359,0.061406995,0.035714286,0.033914753
5.6,0.7187477,0.6423466,0.624822706,0,0.637276389,0.517478407,0.162833914,0.893362377,0.862747566,0.093941509,0.060606061,0.272727273,0.154239916,0.177491026,0.448235959,0.160781672,0.615384615,0.098542879,0,0.055205588
8,0.607756847,0.568188366,0.597370432,0.05,0.678409341,0.560207781,0.162833914,0,0.846828512,0.093941509,0.045454545,0.215909091,0.151393946,0.121620164,0.491886222,0.174057782,0.564102564,0,0.035714286,0.026193165
0.5,0.6683901,0.906608302,0.656160467,0,0.655920979,0.536846617,0.162833914,0.896698595,0.852807555,0.093941509,0.015151515,0.238636364,0.152462865,0.104385618,0.317575304,0.166799417,0.641025641,0.028307226,0,0.016923913
120,0.487439079,0.582940757,0.42287874,0,0.685099842,0.635935037,0.225900116,0,0.816935858,0.154399914,0.045454545,0.159090909,0.296885135,0.155579749,0.508454492,0.37380362,0.384615385,0,0,0.061697411
9.2,0.666497212,0.902818152,0.614335792,0,0.653926611,0.534774845,0.162833914,0.898826209,0.858639107,0.093941509,0.03030303,0.25,0.153505416,0.081249257,0.430611181,0.166155713,0.58974359,0.077415382,0,0.035077592
53.1,0.502802843,0.947521951,0.580358497,0,0.676343011,0.558061255,0.162833914,0,0.840858718,0.093941509,0.015151515,0.170454545,0.150326681,0.083100623,0.38571761,0.173390851,0.512820513,0,0,0.009202326
6.7,0.502802843,0.911389071,0.555314958,0,0.695697113,0.578166514,0.162833914,0,0.838157957,0.093941509,0.015151515,0.170454545,0.149843845,0.083100623,0.376088288,0.179637599,0.512820513,0,0,0.009202326
562,0.622907255,0.710264778,0.586227027,0.05,0.668499674,0.549913508,0.162833914,0.889503075,0.851922567,0.093941509,0.045454545,0.238636364,0.152304649,0.088343127,0.410885503,0.170859328,0.58974359,0.063296882,0.035714286,0.033914753
20.1,0.525620531,0.881733342,0.51100478,0,0.684813207,0.635433699,0.225900116,0,0.817403147,0.185340514,0.015151515,0.170454545,0.297079175,0.065834101,0.39588809,0.373555339,0.487179487,0,0,0.026126239
29.8,0.495937439,0.953101532,0.55398748,0,0.679322528,0.561156411,0.162833914,0,0.839914287,0.093941509,0.015151515,0.159090909,0.150157838,0.100999653,0.386356017,0.174352523,0.487179487,0,0,0.009202326
28,0.646734174,0.595434181,0.490214796,0,0.656760417,0.614932236,0.225900116,0,0.825509841,0.152490187,0.045454545,0.204545455,0.300571744,0.184132633,0.508342382,0.358131144,0.487179487,0,0,0.061697411
165,0.405965844,0.32332201,0.475841775,0.05,0.745244112,0.629636496,0.162833914,0,0.821062083,0.093941509,0.03030303,0.113636364,0.146787486,0.091278193,0.195451907,0.195629435,0.256410256,0,0.035714286,0.023482662
122.7,0.409005827,0.26891229,0.438032108,0.05,0.756310687,0.685545965,0.225900116,0,0.800116086,0.125468806,0.03030303,0.113636364,0.289441408,0.094450991,0.183343905,0.412201923,0.256410256,0,0.035714286,0.040406575
5.2,0.545889287,0.629853176,0.556856229,0,0.661041613,0.54216599,0.162833914,0.886198272,0.852658339,0.093941509,0.060606061,0.227272727,0.152436188,0.148938143,0.448348278,0.168452158,0.512820513,0.098542879,0,0.055205588
53.6,0.405965844,0.286493324,0.434198905,0.05,0.755005232,0.6864561,0.225900116,0,0.800985638,0.093941509,0.03030303,0.113636364,0.289364247,0.091278193,0.18783993,0.412063354,0.256410256,0,0.035714286,0.040406575
112,0.705620003,0.63811441,0.628683783,0,0.640823503,0.521163189,0.162833914,0.892276763,0.861232322,0.093941509,0.060606061,0.272727273,0.153969024,0.167693496,0.448346221,0.161926542,0.615384615,0.098542879,0,0.055205588
235,0.373239255,0.312957464,0.473444049,0.05,0.755005232,0.639776458,0.162833914,0,0.817301537,0.093941509,0.03030303,0.113636364,0.146115185,0.091278193,0.198296014,0.198779943,0.282051282,0,0.035714286,0.023482662
29.4,0.618628871,0.639826892,0.619860827,0,0.643585715,0.524032606,0.162833914,0.890809428,0.858597395,0.093941509,0.060606061,0.261363636,0.153497958,0.148938143,0.446332876,0.162818076,0.58974359,0.098542879,0,0.055205588
30.7,0.495937439,0.896999627,0.533103234,0,0.703691111,0.58647077,0.162833914,0,0.83652422,0.093941509,0.015151515,0.159090909,0.14955177,0.086034384,0.394038503,0.18221775,0.487179487,0,0,0.009202326
385,0.318028638,0.343852448,0.408084306,0.1,0.756448938,0.641276196,0.162833914,0,0.815692538,0.093941509,0.03030303,0.090909091,0.145827532,0.107568549,0.183999892,0.199245915,0.205128205,0,0.035714286,0.047107542
11.5,0.577189837,0.899866872,0.633913639,0,0.6674397,0.548812394,0.162833914,0.894676124,0.851647902,0.093941509,0.03030303,0.227272727,0.152255545,0.086034384,0.321223754,0.17051721,0.58974359,0.028307226,0,0.019634417
42.7,0.346434004,0.910542634,0.495220982,0,0.718483335,0.601837099,0.162833914,0,0.825276443,0.093941509,0.015151515,0.125,0.147540919,0.126162599,0.386364474,0.186992102,0.41025641,0,0,0.009202326
4.7,0.585173445,0.905520664,0.655084725,0,0.660606106,0.54171358,0.162833914,0.896313408,0.85319681,0.093941509,0.03030303,0.238636364,0.152532455,0.07187158,0.339312383,0.168311593,0.615384615,0.028307226,0,0.019634417
28.7,0.438324302,0.315824709,0.565569566,0.05,0.718753821,0.602118083,0.162833914,0.860506191,0.832425219,0.093941509,0.045454545,0.181818182,0.14881896,0.091278193,0.125505877,0.187079404,0.384615385,0.063296882,0.035714286,0.033914753
44.3,0.464122207,0.647205153,0.509413379,0,0.695139973,0.577587751,0.162833914,0.881260772,0.841824887,0.093941509,0.060606061,0.193181818,0.15049941,0.075761654,0.633596278,0.179457776,0.461538462,0.189301831,0.035714286,0.041636341
13.5,0.571619516,0.897993719,0.557050639,0,0.717053141,0.609783082,0.225900116,0.942984182,0.830333509,0.34859365,0.015151515,0.227272727,0.299142091,0.127031485,0.195589239,0.375991427,0.512820513,0.140360192,0,0.062734764
3,0.572028456,0.908466204,0.549642965,0,0.681777058,0.605711394,0.225900116,0.966644568,0.831282516,0.339049251,0.015151515,0.227272727,0.300652133,0.117520785,0.252337793,0.363340603,0.538461538,0.140360192,0,0.062734764
33000,0.297630815,0,0.276971007,0,0.776401922,0.732087908,0.288966318,0.812989671,0.788297078,0.093941509,0.015151515,0.079545455,0.432359558,0.036434902,0.234609536,0.659266049,0.230769231,0.176175656,0.035714286,0.058401305
28,0.525033564,0.913442133,0.711588485,0,0.632657126,0.512679864,0.162833914,0.907596162,0.862732736,0.093941509,0.03030303,0.261363636,0.154237265,0.227338277,0.310080295,0.159290754,0.666666667,0.028307226,0,0.019634417
2.4,0.564546901,0.910408142,0.550183821,0,0.609482864,0.59369539,0.213124274,0.982551211,0.835600363,0.309890684,0.015151515,0.227272727,0.306421103,0.197064976,0.208411165,0.336273462,0.512820513,0.140360192,0,0.062734764
1.4,0.54186408,0.764132499,0.492945079,0,0.668088588,0.575440681,0.225900116,0.958115245,0.846323573,0.033822672,0.015151515,0.193181818,0.303997704,0.117520785,0.272877334,0.349517323,0.461538462,0.149392509,0,0.062734764
850,0.34020636,0,0.351846241,0,0.79903279,0.699288199,0.225900116,0.877921533,0.798438396,0.093941509,0.015151515,0.102272727,0.287571271,0.037382037,0.270096673,0.430260691,0.307692308,0.106991258,0.035714286,0.041477392
4,0.6683901,0.906608302,0.656160467,0,0.655920979,0.536846617,0.162833914,0.896698595,0.852807555,0.093941509,0.015151515,0.238636364,0.152462865,0.104385618,0.317575304,0.166799417,0.641025641,0.028307226,0,0.016923913
5600,0.355483191,0,0.310123942,0,0.784163727,0.697361899,0.225900116,0.875055487,0.807779374,0.093941509,0.015151515,0.090909091,0.289572485,0.055328732,0.257808234,0.424863033,0.282051282,0.115563767,0.035714286,0.041477392
71,0.566292731,0.91767898,0.759919433,0,0.619298137,0.498802395,0.162833914,0.910923151,0.86716211,0.093941509,0.03030303,0.284090909,0.155029137,0.292308726,0.309915117,0.154978994,0.717948718,0.028307226,0,0.019634417
34.9,0.571619516,0.908225599,0.569982102,0,0.621970787,0.596020103,0.225900116,0.971393162,0.834334992,0.040826836,0.015151515,0.238636364,0.305417903,0.142683732,0.252440511,0.34102637,0.564102564,0.151991614,0,0.062734764
8600,0.262195579,0,0.362500239,0,0.79363339,0.695442716,0.225900116,0.883599199,0.799035503,0.093941509,0.015151515,0.102272727,0.287849347,0.091416812,0.264316092,0.427323175,0.307692308,0.106991258,0.035714286,0.041477392
17,0.579619249,0.769563349,0.611892523,0,0.723274122,0.606813822,0.162833914,0.870156211,0.830493092,0.093941509,0.015151515,0.215909091,0.148473539,0.062945877,0.342235541,0.188538381,0.58974359,0.028307226,0.071428571,0.016923913
1.6,0.573913818,0.907603726,0.550712498,0,0.692522953,0.605711394,0.225900116,0.963217322,0.831233207,0.034343505,0.015151515,0.227272727,0.300489497,0.117520785,0.246020484,0.366808958,0.538461538,0.151991614,0,0.062734764
3,0.569991246,0.907603726,0.545986205,0,0.655363565,0.563706204,0.225900116,0.965232174,0.850494695,0.035000619,0.015151515,0.227272727,0.305584113,0.117520785,0.255581192,0.341764255,0.538461538,0.149392509,0,0.062734764
0.8,0.612072182,0.911412697,0.570771194,0,0.651879507,0.560457877,0.225900116,0.966516413,0.851482966,0.035214708,0.015151515,0.238636364,0.305957705,0.117520785,0.255570217,0.339630475,0.564102564,0.149392509,0,0.062734764
180,0.319790539,0,0.368856781,0,0.727186724,0.628466974,0.213124274,0.898701582,0.829277592,0.093941509,0.015151515,0.113636364,0.296935867,0.107216549,0.251125425,0.385067278,0.307692308,0.106991258,0.035714286,0.041477392
2800,0.280093716,0,0.296856835,0,0.753364481,0.713765312,0.288966318,0.843958762,0.793914149,0.093941509,0.015151515,0.090909091,0.435992697,0.050962736,0.227882986,0.638702005,0.256410256,0.176175656,0.035714286,0.058401305
